,Hold,StopLoss,Value
2018-02-28 09:35:11.095768,86.4401,8683.0,100.0
2018-02-28 09:45:16.828797,86.4426,8683.0,99.75288494576013
2018-02-28 09:55:22.749576,86.95020000000001,8683.0,100.33864433289642
2018-02-28 10:05:28.940766,86.7,8683.0,100.04991896122286
2018-02-28 10:15:34.223406,87.0186,8683.0,100.41757644889351
2018-02-28 10:25:39.760723,87.03299999999999,8683.0,100.43419373647183
2018-02-28 10:35:44.718157,86.0381,8683.0,99.28610072177148
2018-02-28 10:45:50.676792,86.1761,8580.6,98.77071670150775
2018-02-28 10:55:55.648787,86.6177,8669.76,98.43299096244992
2018-02-28 11:06:01.701400,86.1176,8669.76,97.86467364647038
2018-02-28 11:16:06.488750,86.6233,8669.76,98.43935484361265
2018-02-28 11:26:12.276843,86.7,8669.76,98.52651728739517
2018-02-28 11:36:17.677599,87.0,8669.76,98.86743949254185
2018-02-28 11:46:23.996718,86.60969999999999,8669.76,98.423899703646
2018-02-28 11:56:28.996853,86.5989,8669.76,98.41162650426071
2018-02-28 12:06:34.033379,86.87190000000001,8669.76,98.72186571094421
2018-02-28 12:16:39.260671,86.5439,8669.76,98.34912409998383
2018-02-28 12:26:44.673388,86.44409999999999,8669.76,98.23571064640502
2018-02-28 12:36:50.660734,85.9303,8580.01,97.2601046519084
2018-02-28 12:52:56.397427,85.5,8580.01,97.3230381910925
2018-02-28 13:03:02.628734,85.0,8488.4,96.38030236114811
2018-02-28 13:13:08.688648,85.3833,8488.4,96.38030236114811
2018-02-28 13:23:14.783729,85.45,8488.4,96.38030236114811
2018-02-28 13:33:20.590856,85.68809999999999,8576.97,96.04788607498237
2018-02-28 13:49:26.820733,85.96940000000001,8576.97,96.36319555614595
2018-02-28 13:59:34.228987,85.62110000000001,8576.97,95.97278570086948
2018-02-28 14:09:41.224891,85.3251,8576.97,95.6409989734453
2018-02-28 14:19:48.945556,85.76639999999999,8576.97,96.13565263159491
2018-02-28 14:29:56.672866,85.8478,8576.97,96.22689398163656
2018-02-28 14:40:03.644442,86.23559999999999,8576.97,96.66157943060647
2018-02-28 14:50:10.001641,86.3,8576.97,96.73376546184335
2018-02-28 15:00:17.601631,86.04,8576.97,96.44233117424103
2018-02-28 15:28:24.072771,86.3831,8576.97,96.82691234376546
2018-02-28 15:38:31.142389,86.39489999999999,8576.97,96.84013897681818
2018-02-28 16:00:38.016782,86.1795,8576.97,96.59869687855074
2018-02-28 16:10:44.456728,86.18440000000001,8576.97,96.60418929397095
2018-02-28 16:20:51.708804,85.71950000000001,8576.97,96.0830823697159
2018-02-28 16:36:58.775683,85.4491,8576.97,95.77999071060948
2018-02-28 16:47:05.428815,85.212,8576.97,95.51422505833831
2018-02-28 17:03:11.877060,85.2256,8576.97,95.52946931338211
2018-02-28 17:31:18.264931,85.40010000000001,8576.97,95.72506655640751
